date,btc_close,composite_score,target_btc_exposure_pct,red_count,green_count,signal,dca_percentile,dca_multiplier,dca_buy_factor,reserve_balance
2016-10-09,615.77,47.78,55.5,0,0,HOLD,37.0,1.0,1.0,12.5
2016-10-10,617.29,50.23,49.4,0,0,HOLD,61.4,1.0,1.0,12.5
2016-10-11,640.45,49.61,51.0,0,0,HOLD,58.0,1.0,1.0,12.5
2016-10-12,635.99,51.4,46.5,0,0,HOLD,66.9,1.0,1.0,12.5
2016-10-13,635.6,49.14,52.1,0,0,HOLD,53.8,1.0,1.0,12.5
2016-10-14,637.92,51.46,46.4,0,0,HOLD,67.1,1.0,1.0,12.5
2016-10-15,637.03,49.17,52.1,0,0,HOLD,54.1,1.0,1.0,12.5
2016-10-16,640.12,51.65,45.9,0,0,HOLD,68.0,1.0,1.0,12.5
2016-10-17,637.37,49.75,50.6,0,0,HOLD,58.6,1.0,1.0,12.5
2016-10-18,635.34,51.85,45.4,0,0,HOLD,68.9,1.0,1.0,12.5
2016-10-19,629.06,49.02,52.4,0,0,HOLD,51.0,1.0,1.0,12.5
2016-10-20,628.34,51.21,47.0,0,0,HOLD,66.1,1.0,1.0,12.5
2016-10-21,630.45,49.05,52.4,0,0,HOLD,51.7,1.0,1.0,12.5
2016-10-22,655.48,52.97,42.6,0,0,DERISK,72.7,0.75,0.75,12.75
2016-10-23,653.03,50.7,48.2,0,0,DERISK,64.4,0.75,0.75,13.0
2016-10-24,650.49,52.95,42.7,0,0,DERISK,72.6,0.75,0.75,13.25
2016-10-25,651.0,50.79,48.0,0,0,DERISK,65.0,0.75,0.75,13.5
2016-10-26,674.67,54.52,38.9,0,0,DERISK,74.1,0.75,0.75,13.75
2016-10-27,682.3,53.1,42.3,0,0,DERISK,72.8,0.75,0.75,14.0
2016-10-28,686.24,55.24,37.2,0,0,DERISK,74.3,0.75,0.75,14.25
2016-10-29,714.95,55.43,36.8,0,0,DERISK,74.3,0.75,0.75,14.5
